constituency_no,constituency,constituency_type,name,party,alliance,gender,age,position,vote_share_percentage,margin_percentage,margin,valid_votes,votes,evm_votes,postal_votes,district_name,sub_region,enop,previous_winner,previous_winner_alliance
70,IRINJALAKKUDA,GEN,SANTHOSH CHERAKULAM,Bharatiya Janata Party,NDA,male,61,3,17.84473302,17.23977115,26246,152241,27167,26777,390,THRISSUR,KOCHI (CENTRAL KERALA),2.800140516,CPM,LDF
70,IRINJALAKKUDA,GEN,THANKAMANY THARAYIL,Bahujan Samaj Party,Others,female,68,4,0.60496187,0.03809749,58,152241,921,898,23,THRISSUR,KOCHI (CENTRAL KERALA),2.800140516,CPM,LDF
70,IRINJALAKKUDA,GEN,NOTA,None of the Above,Others,,,5,0.56686438,0.186546331,284,152241,863,850,13,THRISSUR,KOCHI (CENTRAL KERALA),2.800140516,CPM,LDF
70,IRINJALAKKUDA,GEN,DR. SHAJU KAVUNGAL,Aam Aadmi Party,Others,male,58,6,0.380318048,0.210193049,320,152241,579,567,12,THRISSUR,KOCHI (CENTRAL KERALA),2.800140516,CPM,LDF
70,IRINJALAKKUDA,GEN,DR. ANISH,Independent,Others,male,51,7,0.170124999,0.104439671,159,152241,259,252,7,THRISSUR,KOCHI (CENTRAL KERALA),2.800140516,CPM,LDF
70,IRINJALAKKUDA,GEN,AYYAPPAN MANAKKAL,Independent,Others,male,63,8,0.065685328,0,0,152241,100,98,2,THRISSUR,KOCHI (CENTRAL KERALA),2.800140516,CPM,LDF
71,PUTHUKKAD,GEN,K K RAMACHANDRAN,Communist Party of India (Marxist),LDF,male,58,1,40.95458644,1.850662619,2853,154161,63136,62232,904,THRISSUR,KOCHI (CENTRAL KERALA),2.826660303,CPM,LDF
71,PUTHUKKAD,GEN,K M BABURAJAN,Indian National Congress,UDF,male,64,2,39.10392382,20.92941795,32265,154161,60283,59318,965,THRISSUR,KOCHI (CENTRAL KERALA),2.826660303,CPM,LDF
71,PUTHUKKAD,GEN,PARAMESWARAN A (NAGESH),Bharatiya Janata Party,NDA,male,57,3,18.17450587,17.37599004,26787,154161,28018,27699,319,THRISSUR,KOCHI (CENTRAL KERALA),2.826660303,CPM,LDF
71,PUTHUKKAD,GEN,NOTA,None of the Above,Others,,,4,0.798515837,0.238711477,368,154161,1231,1216,15,THRISSUR,KOCHI (CENTRAL KERALA),2.826660303,CPM,LDF
71,PUTHUKKAD,GEN,JAYAKRISHNAN P N,Aam Aadmi Party,Others,male,44,5,0.55980436,0.326930936,504,154161,863,852,11,THRISSUR,KOCHI (CENTRAL KERALA),2.826660303,CPM,LDF
71,PUTHUKKAD,GEN,P C PUSHPAKARAN,Bahujan Samaj Party,Others,male,58,6,0.232873425,0.057083179,88,154161,359,352,7,THRISSUR,KOCHI (CENTRAL KERALA),2.826660303,CPM,LDF
71,PUTHUKKAD,GEN,ANIFA V K,Independent,Others,male,58,7,0.175790245,0,0,154161,271,266,5,THRISSUR,KOCHI (CENTRAL KERALA),2.826660303,CPM,LDF
72,CHALAKKUDY,GEN,SANEESHKUMAR JOSEPH,Indian National Congress,UDF,male,47,1,51.62146291,16.7881042,23156,137931,71202,69786,1416,THRISSUR,KOCHI (CENTRAL KERALA),2.491211742,INC,UDF
72,CHALAKKUDY,GEN,ADV. BIJU S CHIRAYATH,Kerala Congress (M),LDF,male,59,2,34.83335871,23.2116058,32016,137931,48046,47180,866,THRISSUR,KOCHI (CENTRAL KERALA),2.491211742,INC,UDF
72,CHALAKKUDY,GEN,ADV. CHARLYPAUL,Twenty 20 Party,NDA,male,62,3,11.62175291,10.94605274,15098,137931,16030,15833,197,THRISSUR,KOCHI (CENTRAL KERALA),2.491211742,INC,UDF
72,CHALAKKUDY,GEN,NOTA,None of the Above,Others,,,4,0.675700169,0.195025049,269,137931,932,920,12,THRISSUR,KOCHI (CENTRAL KERALA),2.491211742,INC,UDF
72,CHALAKKUDY,GEN,M S ASOKAN MANGALAPPILLY,Bahujan Samaj Party,Others,male,56,5,0.48067512,0.104400026,144,137931,663,646,17,THRISSUR,KOCHI (CENTRAL KERALA),2.491211742,INC,UDF
72,CHALAKKUDY,GEN,WILSON KALLEN,Aam Aadmi Party,Others,male,69,6,0.376275094,0.150800038,208,137931,519,509,10,THRISSUR,KOCHI (CENTRAL KERALA),2.491211742,INC,UDF
72,CHALAKKUDY,GEN,ARUN EDATHADAN,Independent,Others,male,34,7,0.225475056,0.060175015,83,137931,311,297,14,THRISSUR,KOCHI (CENTRAL KERALA),2.491211742,INC,UDF
72,CHALAKKUDY,GEN,A D BIJU,Independent,Others,male,49,8,0.165300041,0,0,137931,228,221,7,THRISSUR,KOCHI (CENTRAL KERALA),2.491211742,INC,UDF
73,KODUNGALLUR,GEN,ADV. O J JANEESH,Indian National Congress,UDF,male,37,1,44.05457299,5.616853264,8308,147912,65162,63936,1226,THRISSUR,KOCHI (CENTRAL KERALA),2.71697453,CPI,LDF
73,KODUNGALLUR,GEN,ADV. V R SUNIL KUMAR,Communist Party of India,LDF,male,56,2,38.43771973,22.2571529,32921,147912,56854,55754,1100,THRISSUR,KOCHI (CENTRAL KERALA),2.71697453,CPI,LDF
73,KODUNGALLUR,GEN,DR. VARGHESE GEORGE,Twenty 20 Party,NDA,male,50,3,16.18056682,15.67756504,23189,147912,23933,23619,314,THRISSUR,KOCHI (CENTRAL KERALA),2.71697453,CPI,LDF
73,KODUNGALLUR,GEN,NOTA,None of the Above,Others,,,4,0.503001785,0.173075883,256,147912,744,738,6,THRISSUR,KOCHI (CENTRAL KERALA),2.71697453,CPI,LDF
73,KODUNGALLUR,GEN,RAVI A K,Bahujan Samaj Party,Others,male,57,5,0.329925902,0.027719184,41,147912,488,467,21,THRISSUR,KOCHI (CENTRAL KERALA),2.71697453,CPI,LDF
73,KODUNGALLUR,GEN,DR. K M FRANCIS ROY,Aam Aadmi Party,Others,male,52,6,0.302206718,0.11020066,163,147912,447,433,14,THRISSUR,KOCHI (CENTRAL KERALA),2.71697453,CPI,LDF
73,KODUNGALLUR,GEN,NANDAGOPAN VELLATHADI,Independent,Others,male,48,7,0.192006058,0,0,147912,284,282,2,THRISSUR,KOCHI (CENTRAL KERALA),2.71697453,CPI,LDF
74,PERUMBAVOOR,GEN,MANOJ MOOTHEDAN,Indian National Congress,UDF,male,48,1,50.89711175,19.27349877,28434,147529,75088,73684,1404,ERNAKULAM,KOCHI (CENTRAL KERALA),2.614530828,INC,UDF
74,PERUMBAVOOR,GEN,BASIL PAUL,Kerala Congress (M),LDF,male,55,2,31.62361298,16.37440774,24157,147529,46654,45845,809,ERNAKULAM,KOCHI (CENTRAL KERALA),2.614530828,INC,UDF
74,PERUMBAVOOR,GEN,JIBI PATHICKAL,Twenty 20 Party,NDA,male,53,3,15.24920524,14.19043036,20935,147529,22497,22189,308,ERNAKULAM,KOCHI (CENTRAL KERALA),2.614530828,INC,UDF
74,PERUMBAVOOR,GEN,ELDHO GEORGE,Independent,Others,male,29,4,1.058774885,0.486006141,717,147529,1562,1549,13,ERNAKULAM,KOCHI (CENTRAL KERALA),2.614530828,INC,UDF
74,PERUMBAVOOR,GEN,NOTA,None of the Above,Others,,,5,0.572768744,0.127432573,188,147529,845,835,10,ERNAKULAM,KOCHI (CENTRAL KERALA),2.614530828,INC,UDF
74,PERUMBAVOOR,GEN,ADV. PRASANTH,Bahujan Samaj Party,Others,male,37,6,0.445336171,0.292145951,431,147529,657,635,22,ERNAKULAM,KOCHI (CENTRAL KERALA),2.614530828,INC,UDF
74,PERUMBAVOOR,GEN,MOHANAN M A,Independent,Others,male,65,7,0.15319022,0,0,147529,226,220,6,ERNAKULAM,KOCHI (CENTRAL KERALA),2.614530828,INC,UDF
75,ANGAMALY,GEN,ROJI M JOHN,Indian National Congress,UDF,male,43,1,59.86411714,28.28319883,37008,130848,78331,77051,1280,ERNAKULAM,KOCHI (CENTRAL KERALA),2.155844594,INC,UDF
75,ANGAMALY,GEN,SAJU PAUL,Communist Party of India (Marxist),LDF,male,59,2,31.58091832,24.02023722,31430,130848,41323,40733,590,ERNAKULAM,KOCHI (CENTRAL KERALA),2.155844594,INC,UDF
75,ANGAMALY,GEN,PROMY KURIAKOSE,Twenty 20 Party,NDA,male,49,3,7.560681096,7.051693568,9227,130848,9893,9788,105,ERNAKULAM,KOCHI (CENTRAL KERALA),2.155844594,INC,UDF
75,ANGAMALY,GEN,NOTA,None of the Above,Others,,,4,0.508987528,0.340853509,446,130848,666,656,10,ERNAKULAM,KOCHI (CENTRAL KERALA),2.155844594,INC,UDF
75,ANGAMALY,GEN,P V RAJEESH,Socialist Unity Centre Of India (COMMUNIST),Others,male,48,5,0.168134018,0.043561996,57,130848,220,216,4,ERNAKULAM,KOCHI (CENTRAL KERALA),2.155844594,INC,UDF
75,ANGAMALY,GEN,JOBY PAUL UPPAN,Independent,Others,male,50,6,0.124572022,0.005349719,7,130848,163,161,2,ERNAKULAM,KOCHI (CENTRAL KERALA),2.155844594,INC,UDF
75,ANGAMALY,GEN,SUPHIL SEBASTIAN,Independent,Others,male,53,7,0.119222304,0.045854732,60,130848,156,153,3,ERNAKULAM,KOCHI (CENTRAL KERALA),2.155844594,INC,UDF
75,ANGAMALY,GEN,SUBRAN,Independent,Others,male,59,8,0.073367572,0,0,130848,96,95,1,ERNAKULAM,KOCHI (CENTRAL KERALA),2.155844594,INC,UDF
76,ALUVA,GEN,ANWAR SADATH,Indian National Congress,UDF,male,51,1,52.77928058,18.33331236,29143,158962,83899,82813,1086,ERNAKULAM,KOCHI (CENTRAL KERALA),2.432115709,INC,UDF
76,ALUVA,GEN,ADVOCATE A.M.ARIFF,Communist Party of India (Marxist),LDF,male,61,2,34.44596822,22.66201985,36024,158962,54756,54126,630,ERNAKULAM,KOCHI (CENTRAL KERALA),2.432115709,INC,UDF
76,ALUVA,GEN,M.A.BRAHMARAJ,Bharatiya Janata Party,NDA,male,59,3,11.78394837,11.04666524,17560,158962,18732,18514,218,ERNAKULAM,KOCHI (CENTRAL KERALA),2.432115709,INC,UDF
76,ALUVA,GEN,NOTA,None of the Above,Others,,,4,0.737283124,0.483763415,769,158962,1172,1152,20,ERNAKULAM,KOCHI (CENTRAL KERALA),2.432115709,INC,UDF
76,ALUVA,GEN,HAKHIKHATH HAMEED,Aam Aadmi Party,Others,male,37,5,0.253519709,0,0,158962,403,403,0,ERNAKULAM,KOCHI (CENTRAL KERALA),2.432115709,INC,UDF
77,KALAMASSERY,GEN,ADV. V E ABDUL GAFOOR,Indian Union Muslim League,UDF,male,49,1,49.34708745,9.986225474,16312,163345,80606,79661,945,ERNAKULAM,KOCHI (CENTRAL KERALA),2.46242509,CPM,LDF
77,KALAMASSERY,GEN,P RAJEEVE,Communist Party of India (Marxist),LDF,male,59,2,39.36086198,30.71045946,50164,163345,64294,63413,881,ERNAKULAM,KOCHI (CENTRAL KERALA),2.46242509,CPM,LDF
77,KALAMASSERY,GEN,BINU,Bharath Dharma Jana Sena,NDA,male,51,3,8.650402522,7.684349077,12552,163345,14130,13981,149,ERNAKULAM,KOCHI (CENTRAL KERALA),2.46242509,CPM,LDF
77,KALAMASSERY,GEN,AJMAL K MUJEEB,Social Democratic Party Of India,Others,male,50,4,0.966053445,0.158560103,259,163345,1578,1572,6,ERNAKULAM,KOCHI (CENTRAL KERALA),2.46242509,CPM,LDF
77,KALAMASSERY,GEN,NOTA,None of the Above,Others,,,5,0.807493342,0.468946096,766,163345,1319,1300,19,ERNAKULAM,KOCHI (CENTRAL KERALA),2.46242509,CPM,LDF
77,KALAMASSERY,GEN,SHAMSU T K,Aam Aadmi Party,Others,male,67,6,0.338547247,0.13590866,222,163345,553,544,9,ERNAKULAM,KOCHI (CENTRAL KERALA),2.46242509,CPM,LDF
77,KALAMASSERY,GEN,SIYAD V A,Bahujan Samaj Party,Others,male,45,7,0.202638587,0.018366035,30,163345,331,327,4,ERNAKULAM,KOCHI (CENTRAL KERALA),2.46242509,CPM,LDF
77,KALAMASSERY,GEN,A RAJEENA,Socialist Unity Centre Of India (COMMUNIST),Others,female,42,8,0.184272552,0.04162968,68,163345,301,299,2,ERNAKULAM,KOCHI (CENTRAL KERALA),2.46242509,CPM,LDF
77,KALAMASSERY,GEN,RAJEEV S/O VAREED,Independent,Others,male,50,9,0.142642872,0,0,163345,233,228,5,ERNAKULAM,KOCHI (CENTRAL KERALA),2.46242509,CPM,LDF
78,PARAVUR,GEN,ADV.V.D.SATHEESAN,Indian National Congress,UDF,male,61,1,49.29836107,12.91090846,20600,159555,78658,77360,1298,ERNAKULAM,KOCHI (CENTRAL KERALA),2.552218772,INC,UDF
78,PARAVUR,GEN,E.T.TAISON MASTER,Communist Party of India,LDF,male,61,2,36.3874526,23.61630786,37681,159555,58058,57121,937,ERNAKULAM,KOCHI (CENTRAL KERALA),2.552218772,INC,UDF
78,PARAVUR,GEN,VALSALA PRASANNAKUMAR,Bharatiya Janata Party,NDA,female,72,3,12.77114475,12.18513992,19442,159555,20377,20163,214,ERNAKULAM,KOCHI (CENTRAL KERALA),2.552218772,INC,UDF
78,PARAVUR,GEN,NOTA,None of the Above,Others,,,4,0.586004826,0.067061515,107,159555,935,926,9,ERNAKULAM,KOCHI (CENTRAL KERALA),2.552218772,INC,UDF
78,PARAVUR,GEN,V.M.FAISAL,Social Democratic Party Of India,Others,male,48,5,0.518943311,0.313371565,500,159555,828,816,12,ERNAKULAM,KOCHI (CENTRAL KERALA),2.552218772,INC,UDF
78,PARAVUR,GEN,P.K.RAJESH,Bahujan Samaj Party,Others,male,48,6,0.205571746,0.080223121,128,159555,328,326,2,ERNAKULAM,KOCHI (CENTRAL KERALA),2.552218772,INC,UDF
78,PARAVUR,GEN,K.B.SATHEESAN,Independent,Others,male,63,7,0.125348626,0.018175551,29,159555,200,200,0,ERNAKULAM,KOCHI (CENTRAL KERALA),2.552218772,INC,UDF
78,PARAVUR,GEN,G.GOKULDEV,Independent,Others,male,35,8,0.107173075,0,0,159555,171,170,1,ERNAKULAM,KOCHI (CENTRAL KERALA),2.552218772,INC,UDF
79,VYPEN,GEN,TONY CHAMMANY,Indian National Congress,UDF,male,56,1,50.17569691,11.8760483,15648,131761,66112,65090,1022,ERNAKULAM,KOCHI (CENTRAL KERALA),2.443759586,CPM,LDF
79,VYPEN,GEN,ADV. M. B. SHYNI,Communist Party of India (Marxist),LDF,female,44,2,38.29964861,27.94984859,36827,131761,50464,49713,751,ERNAKULAM,KOCHI (CENTRAL KERALA),2.443759586,CPM,LDF
79,VYPEN,GEN,ANITHA THOMAS,Twenty 20 Party,NDA,female,60,3,10.34980002,9.757060132,12856,131761,13637,13505,132,ERNAKULAM,KOCHI (CENTRAL KERALA),2.443759586,CPM,LDF
79,VYPEN,GEN,NOTA,None of the Above,Others,,,4,0.592739885,0.333179014,439,131761,781,771,10,ERNAKULAM,KOCHI (CENTRAL KERALA),2.443759586,CPM,LDF
79,VYPEN,GEN,MOHANDAS,Aam Aadmi Party,Others,male,40,5,0.259560872,0.060715993,80,131761,342,330,12,ERNAKULAM,KOCHI (CENTRAL KERALA),2.443759586,CPM,LDF
79,VYPEN,GEN,T. C. SUBRAHMANYAN,Communist Party of India (Marxist-Leninist) Red Star,Others,male,63,6,0.198844878,0.075136042,99,131761,262,259,3,ERNAKULAM,KOCHI (CENTRAL KERALA),2.443759586,CPM,LDF
79,VYPEN,GEN,SADASIVAN,Independent,Others,male,51,7,0.123708836,0,0,131761,163,162,1,ERNAKULAM,KOCHI (CENTRAL KERALA),2.443759586,CPM,LDF
80,KOCHI,GEN,MOHAMMED SHIYAS,Indian National Congress,UDF,male,49,1,47.87382117,6.094574578,8188,134349,64318,63710,608,ERNAKULAM,KOCHI (CENTRAL KERALA),2.429456507,CPM,LDF
80,KOCHI,GEN,K.J. MAXY,Communist Party of India (Marxist),LDF,male,63,2,41.77924659,32.95595799,44276,134349,56130,55611,519,ERNAKULAM,KOCHI (CENTRAL KERALA),2.429456507,CPM,LDF
80,KOCHI,GEN,ADV. XAVIER JULAPPAN,Twenty 20 Party,NDA,male,60,3,8.823288599,8.134038958,10928,134349,11854,11752,102,ERNAKULAM,KOCHI (CENTRAL KERALA),2.429456507,CPM,LDF
80,KOCHI,GEN,NOTA,None of the Above,Others,,,4,0.689249641,0.091552598,123,134349,926,912,14,ERNAKULAM,KOCHI (CENTRAL KERALA),2.429456507,CPM,LDF
80,KOCHI,GEN,ANEESH MATTANCHERRY,Social Democratic Party Of India,Others,male,42,5,0.597697043,0.361000082,485,134349,803,785,18,ERNAKULAM,KOCHI (CENTRAL KERALA),2.429456507,CPM,LDF
80,KOCHI,GEN,AJEESH P.E,Independent,Others,male,38,6,0.236696961,0,0,134349,318,316,2,ERNAKULAM,KOCHI (CENTRAL KERALA),2.429456507,CPM,LDF
81,THRIPUNITHURA,GEN,DEEPAK JOY,Indian National Congress,UDF,male,42,1,45.46519378,11.95130948,18468,154527,70256,69548,708,ERNAKULAM,KOCHI (CENTRAL KERALA),2.813041456,INC,UDF
81,THRIPUNITHURA,GEN,K N UNNIKRISHNAN,Communist Party of India (Marxist),LDF,male,65,2,33.51388431,14.44213633,22317,154527,51788,51246,542,ERNAKULAM,KOCHI (CENTRAL KERALA),2.813041456,INC,UDF
81,THRIPUNITHURA,GEN,ANJALI .P. V,Twenty 20 Party,NDA,female,37,3,19.07174798,18.31395161,28300,154527,29471,29211,260,ERNAKULAM,KOCHI (CENTRAL KERALA),2.813041456,INC,UDF
81,THRIPUNITHURA,GEN,NOTA,None of the Above,Others,,,4,0.757796372,0.405754334,627,154527,1171,1156,15,ERNAKULAM,KOCHI (CENTRAL KERALA),2.813041456,INC,UDF
81,THRIPUNITHURA,GEN,UNNIKRISHNAN K N,Independent,Others,male,39,5,0.352042038,0.077656332,120,154527,544,541,3,ERNAKULAM,KOCHI (CENTRAL KERALA),2.813041456,INC,UDF
81,THRIPUNITHURA,GEN,KARTHIKEYAN,Bahujan Samaj Party,Others,male,71,6,0.274385706,0.031062533,48,154527,424,421,3,ERNAKULAM,KOCHI (CENTRAL KERALA),2.813041456,INC,UDF
81,THRIPUNITHURA,GEN,SANDEEP RAJENDRAPRASAD,Independent,Others,male,42,7,0.243323173,0.067302154,104,154527,376,374,2,ERNAKULAM,KOCHI (CENTRAL KERALA),2.813041456,INC,UDF
81,THRIPUNITHURA,GEN,THOMAS PAUL KOMAROTH,Aam Aadmi Party,Others,male,47,8,0.176021019,0.080244876,124,154527,272,269,3,ERNAKULAM,KOCHI (CENTRAL KERALA),2.813041456,INC,UDF
81,THRIPUNITHURA,GEN,SATHEESAN,Socialist Unity Centre Of India (COMMUNIST),Others,male,57,9,0.095776143,0.045946663,71,154527,148,145,3,ERNAKULAM,KOCHI (CENTRAL KERALA),2.813041456,INC,UDF
81,THRIPUNITHURA,GEN,RAJKUMAR,Independent,Others,male,55,10,0.04982948,0,0,154527,77,75,2,ERNAKULAM,KOCHI (CENTRAL KERALA),2.813041456,INC,UDF
82,ERANAKULAM,GEN,T.J VINOD,Indian National Congress,UDF,male,63,1,56.89674377,33.56755653,36163,107732,61296,60536,760,ERNAKULAM,KOCHI (CENTRAL KERALA),2.43950252,INC,UDF
82,ERANAKULAM,GEN,SABU GEORGE,Independent,LDF,male,63,2,23.32918724,5.549883043,5979,107732,25133,24901,232,ERNAKULAM,KOCHI (CENTRAL KERALA),2.43950252,INC,UDF
82,ERANAKULAM,GEN,P.R. SIVASANKAR,Bharatiya Janata Party,NDA,male,58,3,17.7793042,16.77774477,18075,107732,19154,18936,218,ERNAKULAM,KOCHI (CENTRAL KERALA),2.43950252,INC,UDF
82,ERANAKULAM,GEN,NOTA,None of the Above,Others,,,4,1.001559425,0.274755876,296,107732,1079,1069,10,ERNAKULAM,KOCHI (CENTRAL KERALA),2.43950252,INC,UDF
82,ERANAKULAM,GEN,MOSES HENRY MOTHA,Aam Aadmi Party,Others,male,63,5,0.72680355,0.460401738,496,107732,783,765,18,ERNAKULAM,KOCHI (CENTRAL KERALA),2.43950252,INC,UDF
82,ERANAKULAM,GEN,ASHOKAN,Independent,Others,male,71,6,0.266401812,0,0,107732,287,283,4,ERNAKULAM,KOCHI (CENTRAL KERALA),2.43950252,INC,UDF
83,THRIKKAKARA,GEN,UMA THOMAS,Indian National Congress,UDF,female,60,1,59.35346546,35.74449001,50211,140472,83375,82470,905,ERNAKULAM,KOCHI (CENTRAL KERALA),2.317985402,INC,UDF
83,THRIKKAKARA,GEN,ADV. PUSHPA DAS,Communist Party of India (Marxist),LDF,female,55,2,23.60897545,8.357537445,11740,140472,33164,32852,312,ERNAKULAM,KOCHI (CENTRAL KERALA),2.317985402,INC,UDF
83,THRIKKAKARA,GEN,AKHIL RAJ (AKHIL MARAR),Twenty 20 Party,NDA,male,38,3,15.25143801,14.28825673,20071,140472,21424,21267,157,ERNAKULAM,KOCHI (CENTRAL KERALA),2.317985402,INC,UDF
83,THRIKKAKARA,GEN,NOTA,None of the Above,Others,,,4,0.963181275,0.532490461,748,140472,1353,1345,8,ERNAKULAM,KOCHI (CENTRAL KERALA),2.317985402,INC,UDF
83,THRIKKAKARA,GEN,JOSE GEORGE,Aam Aadmi Party,Others,male,56,5,0.430690814,0.038441825,54,140472,605,599,6,ERNAKULAM,KOCHI (CENTRAL KERALA),2.317985402,INC,UDF
83,THRIKKAKARA,GEN,JOSEPH ALOSIUS,Social Democratic Party Of India,Others,male,60,6,0.392248989,0,0,140472,551,544,7,ERNAKULAM,KOCHI (CENTRAL KERALA),2.317985402,INC,UDF
84,KUNNATHUNAD,SC,V. P. SAJEENDRAN,Indian National Congress,UDF,male,56,1,43.64173693,13.21383781,21283,161066,70292,69003,1289,ERNAKULAM,KOCHI (CENTRAL KERALA),2.894800974,CPM,LDF
84,KUNNATHUNAD,SC,ADV. P. V. SREENIJIN,Communist Party of India (Marxist),LDF,male,50,2,30.42789912,5.456148411,8788,161066,49009,48167,842,ERNAKULAM,KOCHI (CENTRAL KERALA),2.894800974,CPM,LDF
84,KUNNATHUNAD,SC,BABU DIVAKARAN,Twenty 20 Party,NDA,male,55,3,24.97175071,24.38068866,39269,161066,40221,39649,572,ERNAKULAM,KOCHI (CENTRAL KERALA),2.894800974,CPM,LDF
84,KUNNATHUNAD,SC,NOTA,None of the Above,Others,,,4,0.591062049,0.35513392,572,161066,952,938,14,ERNAKULAM,KOCHI (CENTRAL KERALA),2.894800974,CPM,LDF
84,KUNNATHUNAD,SC,MANIKUTTAN A. T.,Bahujan Samaj Party,Others,male,53,5,0.235928129,0.104305067,168,161066,380,373,7,ERNAKULAM,KOCHI (CENTRAL KERALA),2.894800974,CPM,LDF
84,KUNNATHUNAD,SC,VAZHAKULAM BHASI,Independent,Others,male,60,6,0.131623061,0,0,161066,212,209,3,ERNAKULAM,KOCHI (CENTRAL KERALA),2.894800974,CPM,LDF
85,PIRAVOM,GEN,ANOOP JACOB,Kerala Congress (Jacob),UDF,male,48,1,58.76589713,29.32093499,44681,152386,89551,87654,1897,ERNAKULAM,KOCHI (CENTRAL KERALA),2.264160617,KEC(J),UDF
85,PIRAVOM,GEN,SABU K JACOB,Kerala Congress (M),LDF,male,61,2,29.44496214,19.69275393,30009,152386,44870,44019,851,ERNAKULAM,KOCHI (CENTRAL KERALA),2.264160617,KEC(J),UDF
85,PIRAVOM,GEN,JIBI ABRAHAM,Twenty 20 Party,NDA,male,50,3,9.752208208,9.027075978,13756,152386,14861,14640,221,ERNAKULAM,KOCHI (CENTRAL KERALA),2.264160617,KEC(J),UDF
85,PIRAVOM,GEN,NOTA,None of the Above,Others,,,4,0.72513223,0.066279055,101,152386,1105,1089,16,ERNAKULAM,KOCHI (CENTRAL KERALA),2.264160617,KEC(J),UDF
85,PIRAVOM,GEN,ELDHO ABRAHAM THALIYACHIRA,Aam Aadmi Party,Others,male,38,5,0.658853175,0.398330555,607,152386,1004,982,22,ERNAKULAM,KOCHI (CENTRAL KERALA),2.264160617,KEC(J),UDF
85,PIRAVOM,GEN,T C RAMANAN,Socialist Unity Centre Of India (COMMUNIST),Others,male,59,6,0.26052262,0.041998609,64,152386,397,389,8,ERNAKULAM,KOCHI (CENTRAL KERALA),2.264160617,KEC(J),UDF
85,PIRAVOM,GEN,SABU K ERAMATH,Independent,Others,male,46,7,0.218524011,0.044623522,68,152386,333,328,5,ERNAKULAM,KOCHI (CENTRAL KERALA),2.264160617,KEC(J),UDF
85,PIRAVOM,GEN,RENNY MATHEW,Independent,Others,male,45,8,0.17390049,0,0,152386,265,259,6,ERNAKULAM,KOCHI (CENTRAL KERALA),2.264160617,KEC(J),UDF
86,MUVATTUPUZHA,GEN,DR. MATHEW KUZHALNADAN,Indian National Congress,UDF,male,48,1,60.69897591,28.91292167,42829,148131,89914,88107,1807,ERNAKULAM,KOCHI (CENTRAL KERALA),2.110048787,INC,UDF
86,MUVATTUPUZHA,GEN,N ARUN,Communist Party of India,LDF,male,41,2,31.78605424,25.14328534,37245,148131,47085,46393,692,ERNAKULAM,KOCHI (CENTRAL KERALA),2.110048787,INC,UDF
86,MUVATTUPUZHA,GEN,SUNNY KADOOTHAZHE,Twenty 20 Party,NDA,male,54,3,6.642768901,6.181690531,9157,148131,9840,9715,125,ERNAKULAM,KOCHI (CENTRAL KERALA),2.110048787,INC,UDF
86,MUVATTUPUZHA,GEN,NOTA,None of the Above,Others,,,4,0.46107837,0.049955782,74,148131,683,672,11,ERNAKULAM,KOCHI (CENTRAL KERALA),2.110048787,INC,UDF
86,MUVATTUPUZHA,GEN,BABU MATHEW,Social Democratic Party Of India,Others,male,66,5,0.411122587,0,0,148131,609,598,11,ERNAKULAM,KOCHI (CENTRAL KERALA),2.110048787,INC,UDF
87,KOTHAMANGALAM,GEN,SHIBU THECKUMPURAM,Kerala Congress,UDF,male,60,1,52.82800469,12.12084175,16859,139091,73479,71958,1521,ERNAKULAM,KOCHI (CENTRAL KERALA),2.235106578,CPM,LDF
87,KOTHAMANGALAM,GEN,ANTONY JOHN,Communist Party of India (Marxist),LDF,male,43,2,40.70716294,35.64141461,49574,139091,56620,55568,1052,ERNAKULAM,KOCHI (CENTRAL KERALA),2.235106578,CPM,LDF
87,KOTHAMANGALAM,GEN,AJI NARAYANAN,Bharath Dharma Jana Sena,NDA,male,59,3,5.065748323,4.560323817,6343,139091,7046,6917,129,ERNAKULAM,KOCHI (CENTRAL KERALA),2.235106578,CPM,LDF
87,KOTHAMANGALAM,GEN,ROY ARACKAL,Social Democratic Party Of India,Others,male,57,4,0.505424506,0.061830025,86,139091,703,698,5,ERNAKULAM,KOCHI (CENTRAL KERALA),2.235106578,CPM,LDF
87,KOTHAMANGALAM,GEN,NOTA,None of the Above,Others,,,5,0.443594481,0.230065209,320,139091,617,606,11,ERNAKULAM,KOCHI (CENTRAL KERALA),2.235106578,CPM,LDF
87,KOTHAMANGALAM,GEN,SHIBU KALLEKKATTU,Independent,Others,male,48,6,0.213529272,0.075490147,105,139091,297,292,5,ERNAKULAM,KOCHI (CENTRAL KERALA),2.235106578,CPM,LDF
87,KOTHAMANGALAM,GEN,SHIBU CHALAKATTU,Independent,Others,male,49,7,0.138039125,0.039542458,55,139091,192,190,2,ERNAKULAM,KOCHI (CENTRAL KERALA),2.235106578,CPM,LDF
87,KOTHAMANGALAM,GEN,FINTO XAVIER,Rashtravadi Janata Party,Others,male,36,8,0.098496668,0,0,139091,137,136,1,ERNAKULAM,KOCHI (CENTRAL KERALA),2.235106578,CPM,LDF
88,DEVIKULAM,SC,F. RAJA,Indian National Congress,UDF,male,51,1,45.11526285,4.666696393,5233,112135,50590,49924,666,IDUKKI,TRAVANCORE (SOUTH KERALA),2.596324594,CPM,LDF
